station_id,district_id,feature_week_start,feature_week_end,target_week_start,target_week_end,case_count_7d,case_count_previous_7d,case_count_previous_30d,case_count_previous_90d,growth_vs_previous_week,growth_vs_previous_30d,property_cases,women_cases,body_cases,economic_cases,cyber_cases,sll_cases,night_case_ratio,unique_accused_count,repeat_offender_case_count,historical_mean_7d,historical_stddev_7d,historical_z_score,target_risk,split
2000,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,1,2,3,-1.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.38,0.48,-0.77,0,train
2001,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2002,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2003,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2004,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2005,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2006,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2007,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2008,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,1,1,0.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2009,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2010,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2011,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2012,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2013,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2014,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2015,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2016,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,1,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2017,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2018,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
2019,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,1,1,1,-1.0000,-1.0000,0,0,0,0,0,0,0.0000,0,0,0.13,0.33,-0.38,0,train
2020,1001,2024-10-26,2024-11-01,2024-11-02,2024-11-08,0,0,0,0,0.0000,0.0000,0,0,0,0,0,0,0.0000,0,0,0.00,0.00,0.00,0,train
