case_id,date,time,district,station,crime_category,status,latitude,longitude,victim_age,victim_gender,modus_operandi,suspect_count,estimated_loss_inr
KSP-2026-000001,2023-11-07,08:39,Belagavi,Belagavi Police Station 5,Fraud,Closed,16.771115,77.917026,71,Male,Stolen vehicle used for getaway,0,270534
KSP-2026-000002,2025-01-21,06:03,Bengaluru Urban,Bengaluru Urban Police Station 4,Homicide,Under Investigation,14.544284,76.991845,20,Male,Stolen vehicle used for getaway,2,0
KSP-2026-000003,2025-03-14,13:47,Davanagere,Davanagere Police Station 1,Homicide,Open,14.77707,74.631714,42,Other,Entered through back window at night,3,0
KSP-2026-000004,2023-01-11,03:03,Vijayapura,Vijayapura Police Station 2,Cyber Crime,Charge Sheet Filed,15.176314,76.014283,64,Male,Stolen vehicle used for getaway,3,185723
KSP-2026-000005,2023-09-03,17:59,Kalaburagi,Kalaburagi Police Station 3,Public Nuisance,Under Investigation,14.943239,76.042777,32,Female,Stolen vehicle used for getaway,1,0
KSP-2026-000006,2024-04-02,22:29,Bengaluru Urban,Bengaluru Urban Police Station 4,Assault,Cold Case,17.33512,76.264497,28,Other,Group of 3 suspects on motorcycle,2,0
KSP-2026-000007,2023-05-13,07:42,Mysuru,Mysuru Police Station 5,Cyber Crime,Open,16.992695,77.269683,72,Other,Cyber extortion using fake social media profile,1,6492
KSP-2026-000008,2023-03-07,10:34,Vijayapura,Vijayapura Police Station 5,Extortion,Cold Case,12.047471,77.531093,58,Other,Targeted elderly victim on street,3,0
KSP-2026-000009,2023-12-08,13:40,Mysuru,Mysuru Police Station 1,Cyber Crime,Closed,18.020614,77.900498,59,Other,Entered through back window at night,1,146863
KSP-2026-000010,2024-09-14,12:14,Ballari,Ballari Police Station 4,Homicide,Cold Case,18.099267,78.221832,45,Male,Financial fraud promising high returns,3,0
KSP-2026-000011,2024-02-23,18:23,Davanagere,Davanagere Police Station 1,Assault,Closed,14.379674,74.22717,41,Male,Stolen vehicle used for getaway,3,0
KSP-2026-000012,2023-12-26,02:34,Ballari,Ballari Police Station 4,Extortion,Charge Sheet Filed,17.139238,77.699125,25,Other,Used phishing link via SMS,1,0
KSP-2026-000013,2024-02-17,19:32,Vijayapura,Vijayapura Police Station 5,Burglary,Closed,13.863962,74.584441,37,Other,Cyber extortion using fake social media profile,3,308245
KSP-2026-000014,2024-04-27,20:47,Hubballi-Dharwad,Hubballi-Dharwad Police Station 1,Theft,Under Investigation,16.238955,78.087114,41,Male,Financial fraud promising high returns,1,371807
KSP-2026-000015,2024-05-18,05:57,Belagavi,Belagavi Police Station 2,Kidnapping,Charge Sheet Filed,14.91454,74.779837,71,Other,Financial fraud promising high returns,3,0
KSP-2026-000016,2024-04-02,05:24,Ballari,Ballari Police Station 3,Fraud,Cold Case,18.074661,75.276151,73,Other,Group of 3 suspects on motorcycle,0,365286
KSP-2026-000017,2024-05-02,05:35,Vijayapura,Vijayapura Police Station 5,Narcotics,Open,11.739174,74.865803,26,Female,Targeted elderly victim on street,2,0
KSP-2026-000018,2024-10-10,08:52,Davanagere,Davanagere Police Station 4,Fraud,Cold Case,13.650277,77.830411,78,Other,Group of 3 suspects on motorcycle,1,80068
KSP-2026-000019,2023-08-14,23:20,Vijayapura,Vijayapura Police Station 1,Theft,Under Investigation,14.381433,76.06191,37,Male,Stolen vehicle used for getaway,1,290985
KSP-2026-000020,2023-05-08,18:06,Davanagere,Davanagere Police Station 2,Narcotics,Closed,18.309821,77.905587,63,Other,Targeted elderly victim on street,0,0
KSP-2026-000021,2023-03-24,23:23,Bengaluru Urban,Bengaluru Urban Police Station 3,Cyber Crime,Under Investigation,11.606836,75.774224,21,Female,Entered through back window at night,0,97468
KSP-2026-000022,2025-10-11,00:51,Ballari,Ballari Police Station 1,Burglary,Charge Sheet Filed,15.324246,76.153896,79,Other,Group of 3 suspects on motorcycle,1,404940
KSP-2026-000023,2024-10-12,12:53,Mysuru,Mysuru Police Station 5,Public Nuisance,Closed,15.650009,76.642438,47,Other,Used phishing link via SMS,1,0
KSP-2026-000024,2025-03-24,22:08,Mangaluru,Mangaluru Police Station 4,Public Nuisance,Charge Sheet Filed,13.965136,74.343746,34,Female,Financial fraud promising high returns,3,0
